year,agencyName,countyName,numOfficers,numOfficersPer1000
2022,Pensacola Police Department,Escambia,166,3.03
2022,Perry Police Department,Taylor,17,3.42
2022,Pinecrest Police Department,Miami-Dade,50,2.72
2022,Pinellas Park Police Department,Pinellas,103,1.96
2022,Plant City Police Department,Hillsborough,68,1.68
2022,Plantation Police Department,Broward,175,1.86
2022,Ponce Inlet Police Department,Volusia,16,4.72
2022,Port Orange Police Department,Volusia,83,1.29
2022,Port Richey Police Department,Pasco,18,5.54
2022,Port St. Joe Police Department,Gulf,11,2.93
2022,Port St. Lucie Police Department,St. Lucie,265,1.18
2022,Punta Gorda Police Department,Charlotte,41,2.06
2022,Quincy Police Department,Gadsden,27,3.66
2022,Riviera Beach Police Department,Palm Beach,108,2.80
2022,Rockledge Police Department,Brevard,52,1.82
2022,Sanford Police Department,Seminole,127,2.01
2022,Sanibel Police Department,Lee,29,4.47
2022,Sarasota Police Department,Sarasota,176,3.12
2022,Satellite Beach Police Department,Brevard,24,2.11
2022,Sea Ranch Lakes Police Department,Broward,11,20.37
2022,Sebastian Police Department,Indian River,40,1.54
2022,Sebring Police Department,Highlands,40,3.52
2022,Seminole Police Department,Broward,160,0.00
2022,Sewalls Point Police Department,Martin,8,3.99
2022,Shalimar Police Department,Okaloosa,6,7.75
2022,Sneads Police Department,Jackson,13,7.63
2022,South Daytona Police Department,Volusia,27,2.02
2022,South Miami Police Department,Miami-Dade,48,3.97
2022,Springfield Police Department,Bay,29,3.44
2022,St. Augustine Beach Police Department,St. Johns,17,2.46
2022,St. Augustine Police Department,St. Johns,66,4.30
2022,St. Cloud Police Department,Osceola,109,1.78
2022,St. Petersburg Police Department,Pinellas,581,2.20
2022,Starke Police Department,Bradford,20,4.43
2022,Stuart Police Department,Martin,50,2.66
2022,Sunny Isles Beach Police Department,Miami-Dade,53,2.33
2022,Sunrise Police Department,Broward,197,2.02
2022,Surfside Police Department,Miami-Dade,30,5.51
2022,Sweetwater Police Department,Miami-Dade,73,3.71
2022,Tallahassee Police Department,Leon,388,1.94
2022,Tampa Police Department,Hillsborough,1038,2.59
2022,Tarpon Springs Police Department,Pinellas,52,2.02
2022,Tavares Police Department,Lake,29,1.43
2022,Temple Terrace Police Department,Hillsborough,54,1.98
2022,Tequesta Police Department,Palm Beach,20,3.41
2022,Titusville Police Department,Brevard,87,0.89
2022,Town Of Pembroke Park Police Department,Broward,6,0.00
2022,Treasure Island Police Department,Pinellas,20,3.04
2022,Trenton Department Of Public Safety,Gilchrist,5,2.37
2022,Umatilla Police Department,Lake,9,2.32
2022,Valparaiso Police Department,Okaloosa,12,2.44
2022,Venice Police Department,Sarasota,49,1.83
2022,Vero Beach Police Department,Indian River,52,3.16
2022,Virginia Gardens Police Department,Miami-Dade,30,12.63
2022,Volusia County Beach Safety,Volusia,58,0.00
2022,Volusia County Department Of Public Protection,Volusia,6,0.00
2022,Wauchula Police Department,Hardee,18,3.92
2022,Welaka Police Department,Putnam,1,1.34
2022,West Melbourne Police Department,Brevard,44,3.01
2022,West Miami Police Department,Miami-Dade,29,4.10
2022,West Palm Beach Police Department,Palm Beach,302,2.52
2022,Wildwood Police Department,Sumter,38,1.54
2022,Williston Police Department,Levy,18,5.83
2022,Wilton Manors Police Department,Broward,34,2.94
2022,Windermere Police Department,Orange,18,5.92
2022,Winter Garden Police Department,Orange,85,1.69
2022,Winter Haven Police Department,Polk,98,1.84
2022,Winter Park Police Department,Orange,82,2.69
2022,Winter Springs Police Department,Seminole,50,1.28
2022,Zephyrhills Police Department,Pasco,36,1.93
2021,Alachua Police Department,Alachua,27,2.51
2021,Altamonte Springs Police Department,Seminole,99,2.12
2021,Altha Police Department,Calhoun,5,10.12
2021,Apalachicola Police Department,Franklin,10,4.22
2021,Apopka Police Department,Orange,111,1.96
2021,Arcadia Police Department,Desoto,23,3.08
2021,Astatula Police Department,Lake,8,4.11
2021,Atlantic Beach Police Department,Duval,28,2.07
2021,Atlantis Police Department,Palm Beach,15,6.99
2021,Auburndale Police Department,Polk,41,2.48
2021,Aventura Police Department,Miami-Dade,90,2.23
2021,Bal Harbour Village Police Department,Miami-Dade,33,10.70
2021,Bartow Police Department,Polk,44,2.25
2021,Bay Harbor Islands Police Department,Miami-Dade,26,4.35
2021,Belleair Police Department,Pinellas,23,5.32
2021,Belleview Police Department,Marion,15,2.68
2021,Biscayne Park Police Department,Miami-Dade,43,13.79
2021,Blountstown Police Department,Calhoun,20,8.80
2021,Boca Raton Police Services Department,Palm Beach,209,2.13
2021,Bonifay Police Department,Holmes,9,3.23
2021,Bowling Green Police Department,Hardee,6,2.51
2021,Boynton Beach Police Department,Palm Beach,136,1.68
2021,Bradenton Beach Police Department,Manatee,12,13.33
2021,Bradenton Police Department,Manatee,131,2.32
2021,Bunnell Police Department,Flagler,12,3.43
2021,Cape Coral Police Department,Lee,248,1.23
2021,Carrabelle Police Department,Franklin,5,1.96
2021,Casselberry Police Department,Seminole,51,1.72
2021,Cedar Key Police Department,Levy,8,11.68
2021,Chattahoochee Police Department,Gadsden,10,3.65
2021,Chiefland Police Department,Levy,11,4.73
2021,Chipley Police Department,Washington,15,4.13
2021,City Of Belle Isle Police Department,Orange,18,2.56
2021,Clearwater Police Department,Pinellas,226,1.92
2021,Clermont Police Department,Lake,81,1.81
2021,Clewiston Police Department,Hendry,14,1.90
2021,Cocoa Beach Police Department,Brevard,38,3.35
2021,Cocoa Police Department,Brevard,69,3.51
2021,Coconut Creek Police Department,Broward,108,1.87
2021,Coral Gables Police Department,Miami-Dade,234,4.66
2021,Coral Springs Police Department,Broward,222,1.65
2021,Cottondale Police Department,Jackson,5,5.92
2021,Crestview Police Department,Okaloosa,46,1.68
2021,Cross City Police Department,Dixie,9,5.26
2021,Dade City Police Department,Pasco,26,3.45
2021,Davenport Police Department,Polk,15,1.42
2021,Davie Police Department,Broward,195,1.84
2021,Daytona Beach Police Department,Volusia,265,3.58
2021,Daytona Beach Shores Public Safety Department,Volusia,30,5.71
2021,Defuniak Springs Police Department,Walton,24,4.04
2021,Deland Police Department,Volusia,65,1.70
2021,Delray Beach Police Department,Palm Beach,158,2.36
2021,Doral Police Department,Miami-Dade,159,1.97
2021,Dunnellon Police Department,Marion,13,6.72
2021,Eatonville Police Department,Orange,16,6.83
2021,Edgewater Police Department,Volusia,33,1.42
2021,Edgewood Police Department,Orange,14,5.22
2021,El Portal Police Department,Miami-Dade,14,7.03
2021,Eustis Police Department,Lake,35,1.50
2021,Fellsmere Police Department,Indian River,9,1.87
2021,Fernandina Beach Police Department,Nassau,39,2.99
2021,Flagler Beach Police Department,Flagler,15,2.88
2021,Florida City Police Department,Miami-Dade,38,2.74
2021,Fort Lauderdale Police Department,Broward,500,2.69
2021,Fort Myers Police Department,Lee,239,2.61
2021,Fort Pierce Police Department,St. Lucie,121,2.52
2021,Fort Walton Beach Police Department,Okaloosa,53,2.53
2021,Fruitland Park Police Department,Lake,21,2.42
2021,Gainesville Police Department,Alachua,250,1.74
2021,Golden Beach Police Department,Miami-Dade,28,29.32
2021,Graceville Police Department,Jackson,10,4.63
2021,Green Cove Springs Police Department,Clay,26,2.61
2021,Gretna Police Department,Gadsden,9,6.59
2021,Groveland Police Department,Lake,43,2.13
2021,Gulf Breeze Police Department,Santa Rosa,29,4.56
2021,Gulf Stream Police Department,Palm Beach,11,11.59
2021,Gulfport Police Department,Pinellas,30,2.55
2021,Haines City Police Department,Polk,52,1.78
2021,Hallandale Beach Police Department,Broward,95,2.31
2021,Havana Police Department,Gadsden,14,7.88
2021,Hialeah Gardens Police Department,Miami-Dade,45,1.95
2021,Hialeah Police Department,Miami-Dade,278,1.23
2021,High Springs Police Department,Alachua,17,2.62
2021,Highland Beach Police Department,Palm Beach,17,3.95
2021,Hillsboro Beach Police Department,Broward,18,9.06
2021,Holly Hill Police Department,Volusia,26,2.00
2021,Hollywood Police Department,Broward,313,2.03
2021,Holmes Beach Police Department,Manatee,19,6.30
2021,Homestead Police Department,Miami-Dade,135,1.66
2021,Howey-In-The-Hills Police Department,Lake,13,7.74
2021,Indialantic Police Department,Brevard,13,4.33
2021,Indian Creek Village Public Safety Department,Miami-Dade,18,214.29
2021,Indian Harbour Beach Police Department,Brevard,20,2.22
2021,Indian River Shores Public Safety Department,Indian River,31,7.27
2021,Indian Shores Police Department,Pinellas,15,12.57
2021,Interlachen Police Department,Putnam,5,3.47
2021,Jacksonville Beach Police Department,Duval,66,2.74
2021,Jasper Police Department,Hamilton,8,2.23
2021,Jennings Police Department,Hamilton,2,2.67
2021,Juno Beach Police Department,Palm Beach,14,3.63
2021,Jupiter Inlet Colony Police Department,Palm Beach,13,32.26
2021,Jupiter Island Public Safety Department,Martin,23,28.75
2021,Jupiter Police Department,Palm Beach,110,1.80
2021,Kenneth City Police Department,Pinellas,17,3.38
2021,Key Biscayne Police Department,Miami-Dade,34,2.29
2021,Key Colony Beach Police Department,Monroe,6,7.57
2021,Key West Police Department,Monroe,92,3.45
2021,Kissimmee Police Department,Osceola,146,1.80
2021,Lady Lake Police Department,Lake,29,1.81
2021,Lake Alfred Police Department,Polk,12,1.83
2021,Lake City Police Department,Columbia,38,3.06
2021,Lake Clarke Shores Police Department,Palm Beach,16,4.49
2021,Lake Hamilton Police Department,Polk,7,4.46
2021,Lake Helen Police Department,Volusia,13,4.46
2021,Lake Mary Police Department,Seminole,49,2.91
2021,Lake Placid Police Department,Highlands,11,4.65
2021,Lake Wales Police Department,Polk,43,2.53
2021,Lakeland Police Department,Polk,228,1.96
2021,Lantana Police Department,Palm Beach,32,2.76
2021,Largo Police Department,Pinellas,153,1.84
2021,Lauderhill Police Department,Broward,121,1.62
2021,Lawtey Police Department,Bradford,10,15.55
2021,Leesburg Police Department,Lake,68,2.41
2021,Lighthouse Point Police Department,Broward,35,3.33
2021,Live Oak Police Department,Suwannee,19,2.80
2021,Longboat Key Police Department,Manatee,20,2.66
2021,Longwood Police Department,Seminole,44,2.84
2021,Lynn Haven Police Department,Bay,39,2.07
2021,Madison Police Department,Madison,14,4.70
2021,Maitland Police Department,Orange,51,2.61
2021,Manalapan Police Department,Palm Beach,17,40.57
2021,Marco Island Police Department,Collier,41,2.55
2021,Margate Police Department,Broward,114,1.94
2021,Marianna Police Department,Jackson,21,3.21
2021,Mascotte Police Department,Lake,12,1.64
2021,Medley Police Department,Miami-Dade,39,37.25
2021,Melbourne Beach Police Department,Brevard,11,3.40
2021,Melbourne Police Department,Brevard,153,1.78
2021,Melbourne Village Police Department,Brevard,9,12.95
2021,Miami Beach Police Department,Miami-Dade,453,5.47
2021,Miami Gardens Police Department,Miami-Dade,204,1.81
2021,Miami Police Department,Miami-Dade,1369,3.04
2021,Miami Shores Police Department,Miami-Dade,45,3.90
2021,Miami Springs Police Department,Miami-Dade,46,3.32
2021,Miccosukee Police Department,Miami-Dade,56,NULL
2021,Midway Police Department,Gadsden,4,1.11
2021,Milton Police Department,Santa Rosa,18,1.77
2021,Miramar Police Department,Broward,197,1.45
2021,Monticello Police Department,Jefferson,6,2.29
2021,Mount Dora Police Department,Lake,44,2.64
2021,Naples Police Department,Collier,63,3.28
2021,Neptune Beach Police Department,Duval,22,3.03
2021,New Port Richey Police Department,Pasco,45,2.68
2021,New Smyrna Beach Police Department,Volusia,48,1.55
2021,Niceville Police Department,Okaloosa,30,1.87
2021,North Bay Village Police Department,Miami-Dade,31,3.78
2021,North Miami Beach Police Department,Miami-Dade,122,2.79
2021,North Miami Police Department,Miami-Dade,119,1.98
2021,North Palm Beach Police Department,Palm Beach,44,3.34
2021,North Port Police Department,Sarasota,124,1.59
2021,Oakland Police Department,Orange,18,4.62
2021,Ocala Police Department,Marion,191,2.97
2021,Ocean Ridge Police Department,Palm Beach,19,10.39
2021,Ocoee Police Department,Orange,93,1.93
2021,Okeechobee Police Department,Okeechobee,24,4.54
2021,Opa Locka Police Department,Miami-Dade,58,3.50
2021,Orange City Police Department,Volusia,28,2.08
2021,Orange Park Police Department,Clay,25,2.74
2021,Orlando Police Department,Orange,871,2.77
2021,Ormond Beach Police Department,Volusia,62,1.41
2021,Oviedo Police Department,Seminole,71,1.77
2021,Palatka Police Department,Putnam,35,3.34
2021,Palm Bay Police Department,Brevard,161,1.31
2021,Palm Beach Gardens Police Department,Palm Beach,144,2.41
2021,Palm Beach Police Department,Palm Beach,70,7.57
2021,Palm Springs Public Safety Department,Palm Beach,44,1.64
2021,Palmetto Police Department,Manatee,38,2.85
2021,Panama City Beach Police Department,Bay,81,4.31
2021,Panama City Police Department,Bay,96,2.77
2021,Parker Police Department,Bay,11,2.73
2021,Pembroke Pines Police Department,Broward,263,1.54
2021,Pensacola Police Department,Escambia,170,3.12
2021,Perry Police Department,Taylor,21,3.04
2021,Pinecrest Police Department,Miami-Dade,49,2.66
2021,Pinellas Park Police Department,Pinellas,98,1.81
2021,Plant City Police Department,Hillsborough,67,1.67
2021,Plantation Police Department,Broward,173,1.87
2021,Ponce Inlet Police Department,Volusia,14,4.14
2021,Port Orange Police Department,Volusia,78,1.23
2021,Port Richey Police Department,Pasco,19,5.97
2021,Port St. Joe Police Department,Gulf,11,3.10
2021,Port St. Lucie Police Department,St. Lucie,256,1.19
2021,Punta Gorda Police Department,Charlotte,40,2.04
2021,Quincy Police Department,Gadsden,25,3.17
2021,Riviera Beach Police Department,Palm Beach,117,3.07
2021,Rockledge Police Department,Brevard,56,2.01
2021,Sanford Police Department,Seminole,132,2.13
2021,Sanibel Police Department,Lee,29,4.50
2021,Sarasota Police Department,Sarasota,178,3.21
2021,Satellite Beach Police Department,Brevard,25,2.21
2021,Sea Ranch Lakes Police Department,Broward,13,24.30
2021,Sebastian Police Department,Indian River,41,1.61
2021,Sebring Police Department,Highlands,36,3.30
2021,Seminole Police Department,Broward,157,NULL
2021,Sewalls Point Police Department,Martin,9,4.51
2021,Shalimar Police Department,Okaloosa,5,6.55
2021,Sneads Police Department,Jackson,10,5.86
2021,South Daytona Police Department,Volusia,27,2.05
2021,South Miami Police Department,Miami-Dade,51,4.23
2021,Springfield Police Department,Bay,28,3.45
2021,St. Augustine Beach Police Department,St. Johns,18,2.61
2021,St. Augustine Police Department,St. Johns,57,3.81
2021,St. Cloud Police Department,Osceola,100,1.64
2021,St. Petersburg Police Department,Pinellas,591,2.27
2021,Starke Police Department,Bradford,19,3.28
2021,Stuart Police Department,Martin,48,2.71
2021,Sunny Isles Beach Police Department,Miami-Dade,52,2.30
2021,Sunrise Police Department,Broward,192,1.97
2021,Surfside Police Department,Miami-Dade,31,5.54
2021,Sweetwater Police Department,Miami-Dade,68,3.41
2021,Tallahassee Police Department,Leon,396,2.00
2021,Tampa Police Department,Hillsborough,1043,2.66
2021,Tarpon Springs Police Department,Pinellas,53,2.09
2021,Tavares Police Department,Lake,30,1.53
2021,Temple Terrace Police Department,Hillsborough,55,2.04
2021,Tequesta Police Department,Palm Beach,19,3.09
2021,Titusville Police Department,Brevard,87,1.77
2021,Treasure Island Police Department,Pinellas,18,2.74
2021,Trenton Department Of Public Safety,Gilchrist,3,1.45
2021,Umatilla Police Department,Lake,10,2.64
2021,Valparaiso Police Department,Okaloosa,13,2.71
2021,Venice Police Department,Sarasota,50,1.92
2021,Vero Beach Police Department,Indian River,56,3.41
2021,Virginia Gardens Police Department,Miami-Dade,26,10.97
2021,Volusia County Beach Safety,Volusia,60,NULL
2021,Volusia County Department Of Public Protection,Volusia,6,NULL
2021,Wauchula Police Department,Hardee,15,3.08
2021,Welaka Police Department,Putnam,1,1.39
2021,West Melbourne Police Department,Brevard,49,1.74
2021,West Miami Police Department,Miami-Dade,28,3.85
2021,West Palm Beach Police Department,Palm Beach,299,2.51
2021,Wildwood Police Department,Sumter,38,1.82
2021,Williston Police Department,Levy,19,6.25
2021,Wilton Manors Police Department,Broward,31,2.68
2021,Windermere Police Department,Orange,21,6.88
2021,Winter Garden Police Department,Orange,82,1.73
2021,Winter Haven Police Department,Polk,100,1.96
2021,Winter Park Police Department,Orange,78,2.60
2021,Winter Springs Police Department,Seminole,54,1.39
2021,Zephyrhills Police Department,Pasco,33,1.86
2020,Alachua Police Department,Alachua,30,2.87
2020,Altamonte Springs Police Department,Seminole,98,2.16
2020,Altha Police Department,Calhoun,7,13.06
2020,Apalachicola Police Department,Franklin,8,3.40
2020,Apopka Police Department,Orange,109,2.03
2020,Arcadia Police Department,DeSoto,24,3.01
2020,Astatula Police Department,Lake,10,5.21
2020,Atlantic Beach Police Department,Duval,28,2.03
2020,Atlantis Police Department,Palm Beach,15,7.30
2020,Auburndale Police Department,Polk,40,2.34
2020,Aventura Police Department,Miami-Dade,87,2.29
2020,Bal Harbour Village Police Department,Miami-Dade,34,11.60
2020,Bartow Police Department,Polk,40,1.93
2020,Bay Harbor Islands Police Department,Miami-Dade,24,3.94
2020,Belleair Police Department,Pinellas,19,4.64
2020,Belleview Police Department,Marion,17,3.19
2020,Biscayne Park Police Department,Miami-Dade,40,12.57
2020,Blountstown Police Department,Calhoun,19,7.87
2020,Boca Raton Police Department,Palm Beach,210,2.21
2020,Bonifay Police Department,Holmes,10,3.69
2020,Bowling Green Police Department,Hardee,6,2.06
2020,Boynton Beach Police Department,Palm Beach,140,1.78
2020,Bradenton Beach Police Department,Manatee,12,10.10
2020,Bradenton Police Department,Manatee,128,2.18
2020,Bunnell Police Department,Flagler,14,3.99
2020,Cape Coral Police Department,Lee,238,1.27
2020,Carrabelle Police Department,Franklin,8,3.03
2020,Casselberry Police Department,Seminole,48,1.58
2020,Cedar Key Police Department,Levy,10,13.77
2020,Center Hill Police Department,Sumter,14,12.03
2020,Chattahoochee Police Department,Gadsden,12,3.63
2020,Chiefland Police Department,Levy,12,5.41
2020,Chipley Police Department,Washington,16,4.44
2020,City of Belle Isle Police Department,Orange,18,2.44
2020,Clearwater Police Department,Pinellas,240,2.03
2020,Clermont Police Department,Lake,78,1.76
2020,Clewiston Police Department,Hendry,26,3.24
2020,Cocoa Beach Police Department,Brevard,39,3.42
2020,Cocoa Police Department,Brevard,70,3.62
2020,Coconut Creek Police Department,Broward,110,1.87
2020,Coral Gables Police Department,Miami-Dade,225,4.40
2020,Coral Springs Police Department,Broward,226,1.75
2020,Cottondale Police Department,Jackson,6,6.97
2020,Crescent City Police Department,Putnam,7,4.41
2020,Crestview Police Department,Okaloosa,43,1.64
2020,Cross City Police Department,Dixie,10,5.79
2020,Dade City Police Department,Pasco,29,3.92
2020,Davenport Police Department,Polk,15,2.05
2020,Davie Police Department,Broward,192,1.83
2020,Daytona Beach Police Department,Volusia,286,4.07
2020,Daytona Beach Shores Dept. of Public Safety,Volusia,35,7.80
